location_id,datetime,total_duration_above_threshold,time_of_day,week,date_utc,microclimate2
BEEBOX,2024-07-04T06:30:00Z,13.35,23:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T07:00:00Z,10.2,00:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T07:30:00Z,3.15,00:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T08:00:00Z,0,01:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T08:30:00Z,0.15,01:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T09:00:00Z,0,02:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T09:30:00Z,0,02:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T10:00:00Z,0,03:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T10:30:00Z,0,03:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T11:00:00Z,0,04:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T11:30:00Z,0,04:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T12:00:00Z,0,05:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T12:30:00Z,0,05:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T13:00:00Z,0,06:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T13:30:00Z,2.1,06:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T14:00:00Z,2.1,07:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T14:30:00Z,0.8999999999999999,07:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T15:00:00Z,1.05,08:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T15:30:00Z,1.95,08:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T16:00:00Z,1.35,09:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
